"","Taxon","SLA","SLA.units","SLAfromLMA","source"
"1542","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_26"
"1543","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_33"
"1544","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_4"
"1545","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_53"
"1546","Acmena smithii",NA,"",NA,"Gallagher_field_workPHD"
"2230","Acmena smithii",11.76641221,"m2/kg",NA,"Lawson_field_work"
"2270","Acmena smithii",NA,"",NA,"Kyle_Hunter Plant Traits"
"21","Acronychia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"418","Acronychia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"680","Acronychia oblongifolia",NA,"",NA,"Gallagher_field_workPHD"
"963","Acronychia oblongifolia",18.09,"m2/kg",NA,"AUSTRAITS_dataset_10"
"1279","Acronychia oblongifolia",14.8898153662895,"",14.8898153662895,"Gallagher_field_workPHD"
"1290","Acronychia oblongifolia",12.0656370656371,"",12.0656370656371,"Gallagher_field_workPHD"
"1547","Acronychia oblongifolia",NA,"",NA,"NSW flora online "
"1548","Acronychia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_26"
"1549","Acronychia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_52"
"1550","Acronychia oblongifolia",NA,"",NA,"Gallagher_field_workPHD"
"2231","Acronychia oblongifolia",NA,"",NA,"Lawson_field_work"
"2271","Acronychia oblongifolia",NA,"",NA,"Moles 2004 Seed database"
"151","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_68"
"183","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_49"
"1551","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_34"
"1552","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_34"
"1553","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_34"
"1554","Ailanthus triphysa",NA,"",NA,"AUSTRAITS_dataset_34"
"1555","Alangium polyosmoides",NA,"",NA,"NSW flora online "
"488","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_68"
"489","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_68"
"490","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_68"
"748","Alangium villosum",14.7405660377358,"",14.7405660377358,"AUSTRAITS_dataset_39"
"888","Alangium villosum",NA,"",NA,"Gallagher_field_workPHD"
"901","Alangium villosum",NA,"",NA,"Gallagher_field_workPHD"
"933","Alangium villosum",15.616,"m2/kg",NA,"AUSTRAITS_dataset_28"
"983","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_49"
"984","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_49"
"1014","Alangium villosum",19.461,"m2/kg",NA,"AUSTRAITS_dataset_28"
"1023","Alangium villosum",19.214,"m2/kg",NA,"AUSTRAITS_dataset_28"
"1301","Alangium villosum",20.1491033649003,"",20.1491033649003,"Gallagher_field_workPHD"
"1312","Alangium villosum",17.4550532379124,"",17.4550532379124,"Gallagher_field_workPHD"
"1556","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_34"
"1557","Alangium villosum",NA,"",NA,"AUSTRAITS_dataset_34"
"1558","Alangium villosum",NA,"",NA,"Gallagher_field_workPHD"
"308","Alchornea ilicifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"618","Alchornea ilicifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"1559","Alchornea ilicifolia",NA,"",NA,"AUSTRAITS_dataset_17"
"1560","Alchornea ilicifolia",NA,"",NA,"AUSTRAITS_dataset_4"
"1561","Alchornea ilicifolia",NA,"",NA,"AUSTRAITS_dataset_53"
"636","Alectryon tomentosus",NA,"",NA,"AUSTRAITS_dataset_49"
"1562","Alectryon tomentosus",NA,"",NA,"AUSTRAITS_dataset_17"
"1563","Alectryon tomentosus",NA,"",NA,"AUSTRAITS_dataset_4"
"1564","Alectryon tomentosus",NA,"",NA,"AUSTRAITS_dataset_53"
"95","Alphitonia excelsa",7.972,"m2/kg",NA,"AUSTRAITS_dataset_52"
"254","Alphitonia excelsa",9.897,"m2/kg",NA,"AUSTRAITS_dataset_52"
"383","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_68"
"440","Alphitonia excelsa",7.57002271006813,"",7.57002271006813,"AUSTRAITS_dataset_43"
"442","Alphitonia excelsa",7.57002271006813,"",7.57002271006813,"AUSTRAITS_dataset_61"
"443","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_49"
"449","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_68"
"568","Alphitonia excelsa",9.897,"m2/kg",NA,"AUSTRAITS_dataset_8"
"570","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_68"
"598","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_68"
"599","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_68"
"847","Alphitonia excelsa",17.031,"m2/kg",NA,"AUSTRAITS_dataset_52"
"852","Alphitonia excelsa",12.4069478908189,"",12.4069478908189,"AUSTRAITS_dataset_43"
"853","Alphitonia excelsa",12.4069478908189,"",12.4069478908189,"AUSTRAITS_dataset_45"
"854","Alphitonia excelsa",12.4069478908189,"",12.4069478908189,"AUSTRAITS_dataset_61"
"1066","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_56"
"1368","Alphitonia excelsa",9.44,"cm2/g",NA,"AUSTRAITS_dataset_32"
"1421","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_52"
"1422","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_52"
"1565","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_24"
"1566","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_17"
"1567","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_25"
"1568","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_34"
"1569","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_34"
"1570","Alphitonia excelsa",NA,"",NA,"AUSTRAITS_dataset_4"
"2232","Alphitonia excelsa",9.06472401,"m2/kg",NA,"Lawson_field_work"
"2272","Alphitonia excelsa",NA,"",NA,"Moles 2004 Seed database"
"36","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_56"
"75","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"76","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"97","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"1571","Alyxia ruscifolia",NA,"",NA,"NSW flora online "
"1572","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_17"
"1573","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_4"
"1574","Alyxia ruscifolia",NA,"",NA,"AUSTRAITS_dataset_53"
"135","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_68"
"136","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_68"
"207","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_49"
"315","Aphananthe philippinensis",NA,"",NA,"Gallagher_field_workPHD"
"1323","Aphananthe philippinensis",13.9625802848366,"",13.9625802848366,"Gallagher_field_workPHD"
"1575","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_17"
"1576","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_4"
"1577","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_34"
"1578","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_34"
"1579","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_34"
"1580","Aphananthe philippinensis",NA,"",NA,"AUSTRAITS_dataset_53"
"1581","Aphananthe philippinensis",NA,"",NA,"Gallagher_field_workPHD"
"14","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_49"
"23","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_68"
"24","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_68"
"1423","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_52"
"1582","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_34"
"1583","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_34"
"1584","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_34"
"1585","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_34"
"1586","Araucaria cunninghamii",NA,"",NA,"AUSTRAITS_dataset_34"
"532","Archidendron muellerianum",NA,"",NA,"AUSTRAITS_dataset_68"
"640","Archidendron muellerianum",NA,"",NA,"AUSTRAITS_dataset_49"
"1587","Archidendron muellerianum",NA,"",NA,"NSW flora online "
"149","Archirhodomyrtus beckleri",11.899,"m2/kg",NA,"AUSTRAITS_dataset_8"
"150","Archirhodomyrtus beckleri",NA,"",NA,"AUSTRAITS_dataset_68"
"179","Archirhodomyrtus beckleri",NA,"",NA,"AUSTRAITS_dataset_68"
"198","Archirhodomyrtus beckleri",NA,"",NA,"AUSTRAITS_dataset_68"
"199","Archirhodomyrtus beckleri",13.155,"m2/kg",NA,"AUSTRAITS_dataset_8"
"287","Archirhodomyrtus beckleri",NA,"",NA,"AUSTRAITS_dataset_49"
"390","Archirhodomyrtus beckleri",8.43881856540084,"",8.43881856540084,"AUSTRAITS_dataset_39"
"526","Archirhodomyrtus beckleri",13.155,"m2/kg",NA,"AUSTRAITS_dataset_52"
"1588","Archirhodomyrtus beckleri",NA,"",NA,"NSW flora online "
"1589","Archirhodomyrtus beckleri",NA,"",NA,"AUSTRAITS_dataset_53"
"1590","Ardisia crenata",NA,"",NA,"AUSTRAITS_dataset_53"
"661","Argophyllum nullumense",NA,"",NA,"AUSTRAITS_dataset_49"
"1591","Argophyllum nullumense",NA,"",NA,"NSW flora online "
"1592","Aristolochia elegans",NA,"",NA,"AUSTRAITS_dataset_53"
"249","Arytera distylis",NA,"",NA,"AUSTRAITS_dataset_68"
"250","Arytera distylis",NA,"",NA,"AUSTRAITS_dataset_68"
"275","Arytera distylis",NA,"",NA,"AUSTRAITS_dataset_49"
"480","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_68"
"481","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_68"
"919","Arytera divaricata",NA,"",NA,"Gallagher_field_workPHD"
"951","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_49"
"1007","Arytera divaricata",NA,"",NA,"Gallagher_field_workPHD"
"1028","Arytera divaricata",NA,"",NA,"Gallagher_field_workPHD"
"1031","Arytera divaricata",NA,"",NA,"Gallagher_field_workPHD"
"1162","Arytera divaricata",11.0180696342001,"",11.0180696342001,"Gallagher_field_workPHD"
"1173","Arytera divaricata",10.1317122593718,"",10.1317122593718,"Gallagher_field_workPHD"
"1334","Arytera divaricata",11.4311842706904,"",11.4311842706904,"Gallagher_field_workPHD"
"1345","Arytera divaricata",11.2233445566779,"",11.2233445566779,"Gallagher_field_workPHD"
"1593","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_34"
"1594","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_34"
"1595","Arytera divaricata",NA,"",NA,"AUSTRAITS_dataset_53"
"1596","Arytera divaricata",NA,"",NA,"Gallagher_field_workPHD"
"354","Atalaya salicifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"1597","Atalaya salicifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1598","Atalaya salicifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1599","Atalaya salicifolia",NA,"",NA,"AUSTRAITS_dataset_53"
"309","Atractocarpus chartaceus",NA,"",NA,"AUSTRAITS_dataset_68"
"316","Atractocarpus chartaceus",NA,"",NA,"AUSTRAITS_dataset_49"
"1600","Atractocarpus chartaceus",NA,"",NA,"NSW flora online "
"641","Auranticarpa rhombifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"1601","Auranticarpa rhombifolia",NA,"",NA,"NSW flora online "
"1602","Auranticarpa rhombifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1603","Auranticarpa rhombifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"81","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"153","Backhousia myrtifolia",8.55,"m2/kg",NA,"AUSTRAITS_dataset_10"
"204","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"307","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"1424","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_52"
"1425","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_52"
"1604","Backhousia myrtifolia",NA,"",NA,"NSW flora online "
"1605","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_24"
"1606","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_26"
"1607","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1608","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1609","Backhousia myrtifolia",NA,"",NA,"AUSTRAITS_dataset_53"
"2233","Backhousia myrtifolia",11.97272995,"m2/kg",NA,"Lawson_field_work"
"2273","Backhousia myrtifolia",NA,"",NA,"Kew SID"
"373","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"374","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"375","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"828","Beilschmiedia obtusifolia",NA,"",NA,"Gallagher_field_workPHD"
"873","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"1184","Beilschmiedia obtusifolia",10.9878035380727,"",10.9878035380727,"Gallagher_field_workPHD"
"1610","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1611","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1612","Beilschmiedia obtusifolia",NA,"",NA,"AUSTRAITS_dataset_34"
"1613","Beilschmiedia obtusifolia",NA,"",NA,"Gallagher_field_workPHD"
"8","Breynia oblongifolia",8.6551,"cm2/g",NA,"AUSTRAITS_dataset_12"
"28","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"29","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"30","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"34","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_49"
"37","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"42","Breynia oblongifolia",14,"m2/kg",NA,"AUSTRAITS_dataset_8"
"44","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"57","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"58","Breynia oblongifolia",11.951,"m2/kg",NA,"AUSTRAITS_dataset_8"
"91","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"92","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"143","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_68"
"144","Breynia oblongifolia",17.198,"m2/kg",NA,"AUSTRAITS_dataset_8"
"628","Breynia oblongifolia",14,"m2/kg",NA,"AUSTRAITS_dataset_52"
"701","Breynia oblongifolia",10.15,"cm2/g",NA,"AUSTRAITS_dataset_3"
"765","Breynia oblongifolia",15.76,"m2/kg",NA,"AUSTRAITS_dataset_10"
"887","Breynia oblongifolia",17.198,"m2/kg",NA,"AUSTRAITS_dataset_52"
"1363","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1426","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_52"
"1427","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_52"
"1614","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_24"
"1615","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_26"
"1616","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1617","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1618","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1619","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1620","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1621","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_30"
"1622","Breynia oblongifolia",NA,"",NA,"AUSTRAITS_dataset_53"
"2234","Breynia oblongifolia",NA,"",NA,"Lawson_field_work"
"2274","Breynia oblongifolia",NA,"",NA,"PIREL Seed Trait Database 02 08 2013"
"531","Bridelia exaltata",NA,"",NA,"AUSTRAITS_dataset_68"
"563","Bridelia exaltata",NA,"",NA,"AUSTRAITS_dataset_49"
"1623","Bridelia exaltata",NA,"",NA,"AUSTRAITS_dataset_34"
"1624","Bridelia exaltata",NA,"",NA,"AUSTRAITS_dataset_34"
"269","Bridelia leichhardtii",NA,"",NA,"AUSTRAITS_dataset_49"
"56","Bursaria incana",NA,"",NA,"AUSTRAITS_dataset_29"
"62","Bursaria incana",NA,"",NA,"AUSTRAITS_dataset_49"
"1357","Bursaria incana",NA,"",NA,"AUSTRAITS_dataset_61"
"1625","Bursaria incana",NA,"",NA,"AUSTRAITS_dataset_53"
"591","Calamus muelleri",NA,"",NA,"Gallagher_field_workPHD"
"1033","Calamus muelleri",NA,"",NA,"AUSTRAITS_dataset_68"
"1034","Calamus muelleri",NA,"",NA,"Gallagher_field_workPHD"
"1132","Calamus muelleri",NA,"",NA,"AUSTRAITS_dataset_68"
"1161","Calamus muelleri",NA,"",NA,"AUSTRAITS_dataset_68"
"1195","Calamus muelleri",12.6678489992399,"",12.6678489992399,"Gallagher_field_workPHD"
"1389","Calamus muelleri",13.418,"m2/kg",NA,"Gallagher_field_workPHD"
"1626","Calamus muelleri",NA,"",NA,"NSW flora online "
"1627","Calamus muelleri",NA,"",NA,"Gallagher_field_workPHD"
"1628","Calamus muelleri",NA,"",NA,"Gallagher_field_workPHD"
"115","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_68"
"116","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_68"
"336","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_68"
"352","Callerya megasperma",NA,"",NA,"Gallagher_field_workPHD"
"1108","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_49"
"1629","Callerya megasperma",NA,"",NA,"NSW flora online "
"1630","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_17"
"1631","Callerya megasperma",NA,"",NA,"AUSTRAITS_dataset_4"
"1428","Callistemon salignus",NA,"",NA,"AUSTRAITS_dataset_52"
"1632","Callistemon salignus",NA,"",NA,"NSW flora online "
"1633","Callistemon salignus",NA,"",NA,"AUSTRAITS_dataset_24"
"1634","Callistemon salignus",NA,"",NA,"AUSTRAITS_dataset_17"
"1635","Callistemon salignus",NA,"",NA,"AUSTRAITS_dataset_34"
"1636","Callistemon salignus",NA,"",NA,"AUSTRAITS_dataset_4"
"1637","Callistemon viminalis",NA,"",NA,"NSW flora online "
"1638","Callistemon viminalis",NA,"",NA,"AUSTRAITS_dataset_17"
"1639","Callistemon viminalis",NA,"",NA,"AUSTRAITS_dataset_34"
"1640","Callistemon viminalis",NA,"",NA,"AUSTRAITS_dataset_4"
"1641","Callistemon viminalis",NA,"",NA,"AUSTRAITS_dataset_53"
"571","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_68"
"572","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_68"
"732","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_49"
"1642","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_34"
"1643","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_34"
"1644","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_34"
"1645","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_34"
"1646","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_34"
"1647","Canarium australasicum",NA,"",NA,"AUSTRAITS_dataset_53"
"405","Capparis arborea",NA,"",NA,"AUSTRAITS_dataset_68"
"406","Capparis arborea",NA,"",NA,"AUSTRAITS_dataset_68"
"410","Capparis arborea",NA,"",NA,"Gallagher_field_workPHD"
"451","Capparis arborea",NA,"",NA,"Gallagher_field_workPHD"
"637","Capparis arborea",NA,"",NA,"AUSTRAITS_dataset_49"
"768","Capparis arborea",7.522,"m2/kg",NA,"AUSTRAITS_dataset_28"
"839","Capparis arborea",8.463,"m2/kg",NA,"AUSTRAITS_dataset_28"
"868","Capparis arborea",7.417,"m2/kg",NA,"AUSTRAITS_dataset_28"
"869","Capparis arborea",NA,"",NA,"AUSTRAITS_dataset_68"
"1206","Capparis arborea",11.3934146063575,"",11.3934146063575,"Gallagher_field_workPHD"
"1217","Capparis arborea",9.67117988394584,"",9.67117988394584,"Gallagher_field_workPHD"
"1648","Capparis arborea",NA,"",NA,"NSW flora online "
"1649","Capparis arborea",NA,"",NA,"AUSTRAITS_dataset_34"
"1650","Capparis arborea",NA,"",NA,"Gallagher_field_workPHD"
"460","Capparis velutina",NA,"",NA,"AUSTRAITS_dataset_49"
"516","Capparis velutina",NA,"",NA,"AUSTRAITS_dataset_49"
"446","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_68"
"650","Carex appressa",14.14,"m2/kg",NA,"AUSTRAITS_dataset_10"
"843","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_68"
"926","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_68"
"1429","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_52"
"1651","Carex appressa",NA,"",NA,"NSW flora online "
"1652","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_26"
"1653","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_53"
"1654","Carex appressa",NA,"",NA,"AUSTRAITS_dataset_57"
"2235","Carex appressa",14.57485662,"m2/kg",NA,"Lawson_field_work"
"2275","Carex appressa",NA,"",NA,"Kew SID"
"69","Carissa ovata",NA,"",NA,"AUSTRAITS_dataset_68"
"87","Carissa ovata",NA,"",NA,"AUSTRAITS_dataset_49"
"1029","Carissa ovata",NA,"",NA,"AUSTRAITS_dataset_6"
"1655","Carissa ovata",NA,"",NA,"NSW flora online "
"1656","Carissa ovata",NA,"",NA,"AUSTRAITS_dataset_6"
"1002","Carronia multisepala",NA,"",NA,"AUSTRAITS_dataset_49"
"1041","Carronia multisepala",NA,"",NA,"AUSTRAITS_dataset_68"
"1042","Carronia multisepala",NA,"",NA,"AUSTRAITS_dataset_68"
"604","Castanospermum australe",13.524,"m2/kg",NA,"AUSTRAITS_dataset_52"
"757","Castanospermum australe",8.54700854700855,"",8.54700854700855,"AUSTRAITS_dataset_32"
"790","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_68"
"791","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_68"
"813","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_49"
"1160","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_68"
"1358","Castanospermum australe",16.8918918918919,"",16.8918918918919,"AUSTRAITS_dataset_32"
"1374","Castanospermum australe",12.3053,"cm2/g",NA,"AUSTRAITS_dataset_32"
"1384","Castanospermum australe",8.5536,"cm2/g",NA,"AUSTRAITS_dataset_67"
"1430","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_52"
"1431","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_52"
"1657","Castanospermum australe",NA,"",NA,"NSW flora online "
"1658","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_17"
"1659","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_34"
"1660","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_34"
"1661","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_34"
"1662","Castanospermum australe",NA,"",NA,"AUSTRAITS_dataset_4"
"3","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_49"
"4","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_29"
"9","Casuarina cunninghamiana",3.724,"m2/kg",NA,"AUSTRAITS_dataset_8"
"10","Casuarina cunninghamiana",3.724,"m2/kg",NA,"AUSTRAITS_dataset_52"
"11","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_68"
"792","Casuarina cunninghamiana",3.5164,"cm2/g",NA,"AUSTRAITS_dataset_32"
"1432","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_52"
"1663","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_24"
"1664","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_34"
"1665","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_34"
"1666","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_34"
"1667","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_53"
"1668","Casuarina cunninghamiana",NA,"",NA,"AUSTRAITS_dataset_56"
"2236","Casuarina cunninghamiana",NA,"",NA,"Lawson_field_work"
"2276","Casuarina cunninghamiana",NA,"",NA,"Kew SID, as N. microcarpa var. microcarpa"
"13","Casuarina littoralis",4.57,"m2/kg",NA,"AUSTRAITS_dataset_10"
"1433","Casuarina littoralis",NA,"",NA,"AUSTRAITS_dataset_52"
